,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
13,,Fiktor_n73,"2021-11-20 12:22:56",0,no,no,"Yg paham ajalah😂😂😂😂",UCDMiaLa_fjJruxI660xjhgg,Ugw01QFhZUrOnaqXeXd4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw01QFhZUrOnaqXeXd4AaABAg
14,,"BAE BAEXO","2021-11-20 12:23:13",0,no,no,"pas dulu mau bikin sim, banyak banget sampe antri buat ujian praktek. mana panas. dan satupun g ada yang lolos. mau bikin sim malah dipersulit. jalurnya g masuk akal. kek emang gw mau lewat jalan ruwet kek gitu ya? enggak anjirrrr. sinting",UC5U-ilnhzX4CH3_rBrPA2PQ,Ugxuv4B6xY-rvlwwEDZ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxuv4B6xY-rvlwwEDZ4AaABAg
15,,"sukiman Adjie sudibjo","2021-11-20 12:23:36",0,no,no,"Diajari jadi pembalap tikang tikung,",UCvl5tsH8augus16BjykV2Pw,UgwEoHTwfQWpJpFDzMV4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwEoHTwfQWpJpFDzMV4AaABAg
16,,"Mas Pro67","2021-11-20 12:23:54",0,no,no,"Gruduk saja",UCaiTy5OFSROYZk0I_bTPjCA,UgztA5HXEnWgdeT9hdF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgztA5HXEnWgdeT9hdF4AaABAg
17,,"Mahardika Gultom","2021-11-20 12:24:21",0,no,no,"Kalau bisa di persulit ngapain di permudah...!!😁😁😁",UCjCvHxIqg1Lmt_iKqmD_FSg,Ugz1rBD2BwqMfTIBaYp4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugz1rBD2BwqMfTIBaYp4AaABAg
18,,Sopian,"2021-11-20 12:24:21",0,no,no,"SQUID GAME versi Indonesia",UCT6xrhsXZrrI65WuxzhNBbQ,UgyxnluDQd9Fg7KT40d4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyxnluDQd9Fg7KT40d4AaABAg
19,,"Andika Putra","2021-11-20 12:24:25",0,no,no,"Bener juga ya 😂",UCm_n1NgGaS63jDIJJ_18PMA,Ugxoqy1sG9sZgg_dDQ94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxoqy1sG9sZgg_dDQ94AaABAg
20,,"Azka chanel cilacap","2021-11-20 12:24:25",0,no,no,"Masih ada toh tes model ginian.
Kok saya cuma tes didepan layar monitor sambil baca rambu dan jawab benar atau salah dan apa yg harus dilakukan.. 🙏🏻.
Saya bikin SIM 2018 😁😁
Maklum.karena kapok kondangan ke pakpol.mulu..",UCPS9Qv7LgiyESk691J7aHrQ,Ugx_Jlyval0ynIbDoB94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugx_Jlyval0ynIbDoB94AaABAg
21,,"Eny Sugiarti","2021-11-20 12:24:27",0,no,no,"Sengaja biar gk lulus..ujung2nya nembak 😂",UC9QFJD07R6YxPJwTJDEMo_A,Ugz4KBnI_BMFx5cyevV4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugz4KBnI_BMFx5cyevV4AaABAg
22,,Yuvoria,"2021-11-20 12:24:27",0,no,no,"Kan emang gitu konsepnya... Wakanda FOREVER",UCbR_eYQPPacbzIwEu0k8JKQ,UgyRiy-zotIgj7xVbk14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyRiy-zotIgj7xVbk14AaABAg
23,,"Kristianto Anugrahing","2021-11-20 12:24:33",0,no,no,"Lah, gw bisa kok lolos dr trek model gtu. Kuncinya otot perut harus main",UCbfWyPgNiwug8IcgtBJD2Pw,UgzDA3Pi1qKdUM9Ii8l4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzDA3Pi1qKdUM9Ii8l4AaABAg
24,,"jun hdy","2021-11-20 12:24:33",0,no,no,"Bagus niiihh... 10 tahun lebih  berjalan ujian sim gini baru sadar yahhh 😂😂😂",UCqtz-utvZz94f507Emp-iUA,UgwUBC0CQmyf5IVVOz14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwUBC0CQmyf5IVVOz14AaABAg
25,,"Yunani Kurniadjati","2021-11-20 12:24:36",0,no,no,"Trek zikzak , artinya boleh zikzak d jln raya😀😀😀😀",UCTUZO88_PbPyQK3zMJ_HlXQ,Ugw3OStYzkVPxUptQUl4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw3OStYzkVPxUptQUl4AaABAg
26,,"Kharisma Afdhil","2021-11-20 12:24:51",0,no,no,"Betul mak",UCgTCi63nCb4vPjLReOD5jHA,UgxM7e_tsLEWX1ezZbB4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxM7e_tsLEWX1ezZbB4AaABAg
27,,"dewi murai batu","2021-11-20 12:24:52",0,no,no,"Betul buuuuangget***************",UCil_y7RtDVDSuQWv5cx_N1g,Ugw1bX2y-Z-t1s3w3-t4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw1bX2y-Z-t1s3w3-t4AaABAg
28,,"ARSWINDO PRADITYA","2021-11-20 12:24:54",0,no,no,"bener tu, dijalanan ga gitu gitu amat rutenya 😄",UCj577BP8PB9_Z7qwWiYwEDg,Ugxz-eW6ohyRKft7ZFB4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxz-eW6ohyRKft7ZFB4AaABAg
29,,"Ahmad Fathul Mubarok","2021-11-20 12:24:55",0,no,no,"Wah ini mah dasarnya aja orang pengin instan 🤦‍♂️",UCXrJ62PhHTealHu6REtPFgg,Ugyw52IehWSgN4PdAU94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugyw52IehWSgN4PdAU94AaABAg
30,,"Abdul Ghofur","2021-11-20 12:24:56",0,no,no,"Dh g kaget dri jaman dahulu smpe skrng bikin sim murni minimal 2-3kali balik,Calo cm sejam",UCVoQc1msXvWVUd7113eOvrg,UgyC3cBsNYqYXsdY8R54AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyC3cBsNYqYXsdY8R54AaABAg
31,,"sofyan efendi","2021-11-20 12:24:59",0,no,no,"😆😅diajarin balapan tamia...bu",UC5omZA3BZl0ftM8He7dl1RA,UgzmQe2W0RreFldiSYF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzmQe2W0RreFldiSYF4AaABAg
