,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
68,,"d jp","2021-11-20 12:28:25",0,no,no,"dari 4000+ komen disini,,, semua dukung emak2 ini... ampuh sekali",UCw4WbybOUArDdHfhw07SK2A,UgyOfdKOkZNBgdHwtNZ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyOfdKOkZNBgdHwtNZ4AaABAg
69,,"Zero Distance","2021-11-20 12:28:26",0,no,no,"Sim tak dapat ma ini karna ujian kepantasan gagal setelah gagal salain polisi juga",UCXcFukCxL8Q9xmUUGi_RivQ,Ugx8EKfENVWy7Z6sInR4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugx8EKfENVWy7Z6sInR4AaABAg
70,,"Irwan Azhammy","2021-11-20 12:28:43",0,no,no,"Kalo bisa di persulit ngapain di permudah 🤭🤭",UC7O5JfluQT-N7igL9Lh5A_w,UgyIOO8cdjXRset4ZZF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyIOO8cdjXRset4ZZF4AaABAg
71,,"buruh tani","2021-11-20 12:28:49",0,no,no,Jossss,UCHp1NIjVPuwq5snWaF_w-KA,UgyNpivpPlfsdDiEMcF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyNpivpPlfsdDiEMcF4AaABAg
72,,"Asep Saripudin","2021-11-20 12:28:55",0,no,no,"Emng sengaja biar ujung2nya nembak,..",UCspHa9O91yI-llLGN8hZmRg,Ugz--fTFX9Z22T2_m994AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugz--fTFX9Z22T2_m994AaABAg
73,,"Rai SL","2021-11-20 12:29:01",0,no,no,"""Saya belum nemu trek jalan raya seperti itu, mungkin trek sirkus iya. Dan Saya yakin kalau SIM itu untuk dipergunakan di jalan raya bukan untuk sirkus""",UC-sK-cN5TrzbWYEBC6JCVrg,Ugwf-s909_hC_RtaDp54AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugwf-s909_hC_RtaDp54AaABAg
74,,D'ELTOE'S,"2021-11-20 12:29:16",0,no,no,"Manteb si ibu 👍 ati"" Bu sama orang"" era Jokowi 😎 biasa yg kritik"" kayak gini bisa jadi inceran 😁 itu mah track buat atraksi badut bukan buat tes 👎",UCbqriKI-MQ5zxilrQ6Dy65w,Ugx2LT6-2Xvq3zMAdnd4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugx2LT6-2Xvq3zMAdnd4AaABAg
75,,"AZWAR HALIM","2021-11-20 12:29:17",0,no,no,"Waduh bakal rame nih",UC8K_iVuSIFmuM5lLu55L-Fw,UgzTSnFOctLfaZfLTuR4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzTSnFOctLfaZfLTuR4AaABAg
76,,"Popeye Life","2021-11-20 12:29:28",0,no,no,"toprak juga gk bklan lulus klo trek ujian sim di kita terlalu dekat bikin angka 8 zig zag..sulit 🤣",UCY0f7M_QsOKcipELSoB4O2Q,UgydouVcF0wXF2aH6qx4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgydouVcF0wXF2aH6qx4AaABAg
77,,"Abi Hepi","2021-11-20 12:29:37",0,no,no,"mening nebak aja tingal duduk orang polisi ini calo nya",UClBbhYWNZbiA_p1NqOTPyWA,UgzdAH_c9K_pQ_2UpWN4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzdAH_c9K_pQ_2UpWN4AaABAg
78,,Jepng,"2021-11-20 12:29:37",0,no,no,"Benr tuh ,stuju",UC_m1KB9SM5T4MQ5fLI0fAjA,UgyxyeQ-EKgU5SZ3AF14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyxyeQ-EKgU5SZ3AF14AaABAg
79,,"kuswadi hadi","2021-11-20 12:29:45",0,no,no,"ngga bakal di dengar Bu",UCW8_suFaYGpsyt2Lc-9iX8g,Ugz91aGC7P4-ZTdUJ0F4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugz91aGC7P4-ZTdUJ0F4AaABAg
80,,"Baim Iroel","2021-11-20 12:29:46",0,no,no,"Itu kayaknya ujian untuk sim frestile , karena kalau di jalan raya kan gak zigzag naik motor nya",UCU7NoKNwXpJylBv1Qui5pww,UgxDJibWLbwBbbw5PN94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxDJibWLbwBbbw5PN94AaABAg
81,,"pulL pancing","2021-11-20 12:29:51",0,no,no,"Lah emang dipersulit biar pada nembak dan dapet pemasukan dari situ bu... Ada istilah dilarang lewat jalur depan.  Nda sopan gt katanya",UC9xosEXRYXGGD98FV6Q09PA,UgyTBhz-9r3ba3gGdex4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyTBhz-9r3ba3gGdex4AaABAg
82,,"Runentit RuDi","2021-11-20 12:29:53",0,no,no,"Yg ngajarin loe memberi suap dan penerima suap sma"" bersalah jngn 1 pihak yg di rugikan polisi hanya membatu masyarakat yg pintar bukan bodoh",UCyrG29MS-ycsIktuAhqjK4w,Ugxb_bfKENS40cDWtlF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxb_bfKENS40cDWtlF4AaABAg
83,,"Hayati Noer","2021-11-20 12:29:59",0,no,no,😂😂😂,UCqK_nulOUavzNxhWU2TomMQ,Ugw7Dccxcjh7bt95iIh4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw7Dccxcjh7bt95iIh4AaABAg
84,,"Umam Motor","2021-11-20 12:30:00",0,no,no,"Mantapsss ibu sukses terus",UCr3UrYFWfSYbT0dDZaggsmQ,UgwFtuSzPGwBPlebxy14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwFtuSzPGwBPlebxy14AaABAg
85,,"Aorin Kaa","2021-11-20 12:30:02",1,no,no,"Memang betul. Kita cewek² susah mau lolos track seperti itu.",UCq2QGyhxRJDizGn0zKpNKjQ,Ugyy7Eib186RKOLXXHR4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugyy7Eib186RKOLXXHR4AaABAg
86,,"Bungkus Mie","2021-11-20 12:30:12",0,no,no,"Track ujian buat sim ga sesuai kenyataan dengan di jalan rayanya.
Kalo zigzag begitu mah pembalap moto gp pun bisa geleng ngeliat sebelum di coba 😀",UCrfHUQTW_zfYYm5GHDq2dpQ,Ugw_RUkREQ3sUHHJGp14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw_RUkREQ3sUHHJGp14AaABAg
87,,"BENGET TV","2021-11-20 12:30:20",0,no,no,"mantab . nembak",UCh92GRYze-Qo4kZR9lY-LPA,Ugw1BmjXMnB97SUruih4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw1BmjXMnB97SUruih4AaABAg
88,,"Dwi Asih","2021-11-20 12:30:21",0,no,no,"Ibu...lu kalo jalan sendiri ga bakal beres sehari...harus di dampingi biro jasa..Ampe 4 hari ga bakal beres..Bu..Bu...sogok takut...anggap beramal...",UCUflUrpJQoS4XP9FWVNavuw,Ugw_Wi2ObfQFclKrsSx4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw_Wi2ObfQFclKrsSx4AaABAg
89,,"tri astuti andayani yuniarto","2021-11-20 12:30:32",0,no,no,"Setuju Bu....kalau ada jalan kaya gini...kita cari jalan lain aja. Ngapain bikin  trek kaya gini",UCAHEPQWkVLu5jsbDuqB1KVg,Ugz_TJzPPDJ2ip4qfgh4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugz_TJzPPDJ2ip4qfgh4AaABAg
90,,"Zakaria Harefa","2021-11-20 12:30:40",0,no,no,"Biar emak emak jadi pembalap yang ahli seperti Valentino Rossi kali ya Mak.. 😝😝🤣🤣🤣🤣",UCQgYVO1zLUdp8a7CfnQRdHg,UgzQCBqScNUq1Kdia5V4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzQCBqScNUq1Kdia5V4AaABAg
91,,"Pangeran Kodok","2021-11-20 12:31:04",1,no,no,"Pengalaman bikin SIM C th 2004 duit pas pasan... Baru dtng udh disambut kata"" mau dibantu gak 🤗  daftar resmi jm 9 pagi selesai jm 5 sore. 
Dari 50org yg daftar hanya 3org  yg benar"" lulus resmi 🤣 saya slh 1 nya 😎",UCuagWR2OniPmKiiwpJrO10g,UgyjhqCJBt-gsXe78o14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyjhqCJBt-gsXe78o14AaABAg
92,,"tarjoni tarjo","2021-11-20 12:31:05",0,no,no,"Hanya jin tomang yg bisa lulus kalo treknya seperti itu.....",UCXW8gjiB8yqS5q2esxE1pOQ,UgyhTIpnk5tiCxdKuut4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyhTIpnk5tiCxdKuut4AaABAg
93,,Syahrullah,"2021-11-20 12:31:11",0,no,no,"Terimakasih emak2, anda mewakili suara kami yang terpendam...",UCDA9fEoorOu-c0u7ZLnrOzQ,UgxkItpXcn7ESdkieRd4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxkItpXcn7ESdkieRd4AaABAg
94,,"Hidhayat Noer","2021-11-20 12:31:15",0,no,no,"Ga sabar nunggu ibunya viral.. 😁😄😄😄 gass semangat buk...",UCkBNMqdz9YMgJ8PVtDFPhsA,UgxBNQWTud3bnfj4b3J4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxBNQWTud3bnfj4b3J4AaABAg
95,,"Majid Kobat","2021-11-20 12:31:21",0,no,no,"Ini mau buat SIM apa mau",UCsEcuDzezpAE-S-7IpCXSPg,UgzBDH_SPrnmnAXrlX94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzBDH_SPrnmnAXrlX94AaABAg
96,,"Bims Rhapsody","2021-11-20 12:31:22",0,no,no,"pembalap motogp bikin sim mungkin juga milih nembak kalo treknya gini",UCPk07rNkkbTkSFOjejDQQdg,Ugy8CkuVRWEW2DVUTq54AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugy8CkuVRWEW2DVUTq54AaABAg
97,,Fahriawan,"2021-11-20 12:31:30",0,no,no,"Jangan hanya dilihat coba dulu...",UC1FkgH0t-tLtkeFtq3v_bhA,UgznxV0VUSLVa8rsNl14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgznxV0VUSLVa8rsNl14AaABAg
98,,"Cellana Dalam","2021-11-20 12:31:35",0,no,no,"Berani sekali, pencemaran nama baik nih awas 😜",UCaE7ssJ3b4NVo79p5bSWmyQ,UgxS9NOkKIvxpHTiro14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxS9NOkKIvxpHTiro14AaABAg
99,,"Ahmad Fathul Mubarok","2021-11-20 12:31:36",0,no,no,"Namanya ujian ya harus sulit, ibarat cuma bisa masak mie instan tiba2 harus masak rendang, instan pun kadang2 mie nya kurang mateng atau kelodokan 🤣",UCXrJ62PhHTealHu6REtPFgg,UgymvjYYHfYSTk8QtUx4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgymvjYYHfYSTk8QtUx4AaABAg
100,,"DEWI DEWI","2021-11-20 12:31:40",0,no,no,"Berkendara harusnya ngga asal bisa jalan, tp harus ada skill karna dijalanan kondisinya tidak bisa diprediksi, tujuannya untuk keselamatan oengendara dan orng lain. Sebelum ikut tes coba latihan dulu dirumah bikin trek yg mirip2, gambar pake kapur atau langsung ditanah lapangan.  kalo trek angka 8, zigzag dimana2 memang begitu.  Belum lagi diluar negri pake tambu2 aturan kecepatan + rem mendadak",UCZPtbzZ5L67tt9g6foT9W1g,UgwoSGfLo3CpxJxMqR94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwoSGfLo3CpxJxMqR94AaABAg
